file_id,type,point_count_2m_radius,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity
10000039,clean,1460,0.013849,0.003922,0.029405,0.000000,0.207843
10000040,clean,1433,0.014036,0.003922,0.031461,0.000000,0.211765
10000041,clean,1496,0.012202,0.003922,0.026813,0.000000,0.207843
10000042,clean,1416,0.013698,0.003922,0.029153,0.000000,0.207843
10000043,clean,1436,0.013067,0.003922,0.028572,0.000000,0.227451
10000044,clean,1335,0.014256,0.003922,0.029245,0.000000,0.219608
10000045,clean,1349,0.014689,0.003922,0.032862,0.000000,0.223529
10000046,clean,1351,0.013982,0.003922,0.029922,0.000000,0.207843
10000047,clean,1404,0.013158,0.003922,0.028675,0.000000,0.215686
10000048,clean,1319,0.014096,0.003922,0.029854,0.000000,0.219608
10000049,clean,1328,0.013407,0.003922,0.027951,0.000000,0.219608
10000050,clean,1335,0.013839,0.003922,0.027987,0.000000,0.211765
10000051,clean,1398,0.014348,0.003922,0.029888,0.000000,0.219608
10000052,clean,1383,0.013568,0.003922,0.029266,0.000000,0.211765
10000053,clean,1356,0.013477,0.003922,0.028561,0.000000,0.207843
10000054,clean,1358,0.013255,0.003922,0.027991,0.000000,0.211765
10000055,clean,1316,0.013964,0.003922,0.029584,0.000000,0.219608
10000056,clean,1312,0.013770,0.003922,0.029330,0.000000,0.203922
10000057,clean,1365,0.013578,0.003922,0.028313,0.000000,0.215686
10000058,clean,1317,0.014203,0.003922,0.029564,0.000000,0.207843
10000059,clean,1330,0.013095,0.003922,0.026754,0.000000,0.200000
10000060,clean,1348,0.013551,0.003922,0.028341,0.000000,0.219608
10000061,clean,1406,0.014069,0.003922,0.028639,0.000000,0.211765
10000062,clean,1353,0.013565,0.003922,0.027932,0.000000,0.203922
10000063,clean,1376,0.014330,0.003922,0.029641,0.000000,0.215686
10000064,clean,1355,0.013394,0.003922,0.028382,0.000000,0.211765
10000065,clean,1341,0.014505,0.003922,0.030310,0.000000,0.231373
10000066,clean,1356,0.014104,0.003922,0.030026,0.000000,0.207843
10000067,clean,1434,0.014532,0.003922,0.031538,0.000000,0.231373
10000068,clean,1410,0.013798,0.003922,0.030021,0.000000,0.211765
10000069,clean,1331,0.013883,0.003922,0.028600,0.000000,0.215686
10000070,clean,1354,0.012943,0.003922,0.027573,0.000000,0.207843
10000071,clean,1336,0.013725,0.003922,0.028019,0.000000,0.215686
10000072,clean,1358,0.013864,0.003922,0.029690,0.000000,0.219608
10000073,clean,1343,0.013374,0.003922,0.028442,0.000000,0.211765
10000074,clean,1312,0.014180,0.003922,0.029610,0.000000,0.215686
10000075,clean,1299,0.014769,0.003922,0.030951,0.000000,0.211765
10000076,clean,1365,0.013491,0.003922,0.029151,0.000000,0.219608
10000077,clean,1311,0.013948,0.003922,0.029161,0.000000,0.219608
10000078,clean,1317,0.014060,0.003922,0.029557,0.000000,0.211765
10000079,clean,1332,0.013640,0.003922,0.026957,0.000000,0.207843
10000080,clean,1298,0.013753,0.003922,0.028214,0.000000,0.227451
10000081,clean,1345,0.014077,0.003922,0.029099,0.000000,0.203922
10000082,clean,1348,0.012902,0.003922,0.026105,0.000000,0.211765
10000083,clean,1284,0.013457,0.003922,0.028684,0.000000,0.223529
10000084,clean,1326,0.013533,0.003922,0.028397,0.000000,0.215686
10000085,clean,1279,0.013963,0.003922,0.029901,0.000000,0.211765
10000086,clean,1318,0.014401,0.003922,0.030347,0.000000,0.227451
10000087,clean,1373,0.013550,0.003922,0.029661,0.000000,0.211765
10000088,clean,1277,0.013656,0.003922,0.029574,0.000000,0.227451
10000089,clean,1282,0.014833,0.003922,0.030673,0.000000,0.203922
10000090,clean,1321,0.012584,0.003922,0.026897,0.000000,0.223529
10000091,clean,1343,0.013829,0.003922,0.029322,0.000000,0.223529
10000092,clean,1284,0.014510,0.003922,0.030250,0.000000,0.211765
10000093,clean,1327,0.013712,0.003922,0.030488,0.000000,0.231373
10000094,clean,1312,0.014177,0.003922,0.030674,0.000000,0.215686
10000095,clean,1281,0.012555,0.003922,0.026160,0.000000,0.215686
10000096,clean,1307,0.014612,0.003922,0.031863,0.000000,0.215686
10000097,clean,1361,0.013030,0.003922,0.028172,0.000000,0.215686
10000098,clean,1331,0.014016,0.003922,0.029546,0.000000,0.207843
10000099,clean,1360,0.013094,0.003922,0.026251,0.000000,0.203922
10000100,clean,1300,0.013584,0.003922,0.028128,0.000000,0.203922
10000101,clean,1270,0.013951,0.003922,0.027580,0.000000,0.211765
10000102,clean,1229,0.012955,0.003922,0.027574,0.000000,0.211765
10000103,clean,1246,0.014440,0.003922,0.029747,0.000000,0.207843
10000104,clean,1329,0.014651,0.003922,0.029411,0.000000,0.203922
10000105,clean,1239,0.015392,0.003922,0.031182,0.000000,0.207843
10000106,clean,1290,0.015674,0.003922,0.030347,0.000000,0.203922
10000107,clean,1216,0.013613,0.003922,0.029570,0.000000,0.203922
10000108,clean,1248,0.015284,0.003922,0.029842,0.000000,0.207843
10000109,clean,1276,0.014420,0.003922,0.030332,0.000000,0.207843
10000110,clean,1317,0.015112,0.003922,0.030746,0.000000,0.203922
10000111,clean,1271,0.015350,0.003922,0.031446,0.000000,0.211765
10000112,clean,1307,0.015365,0.003922,0.030084,0.000000,0.207843
10000113,clean,1345,0.015249,0.003922,0.030473,0.000000,0.219608
10000114,clean,1218,0.014212,0.003922,0.031631,0.000000,0.223529
10000115,clean,1262,0.014409,0.003922,0.031386,0.000000,0.211765
10000116,clean,1282,0.015148,0.003922,0.028753,0.000000,0.207843
10000117,clean,1250,0.016044,0.003922,0.031729,0.000000,0.211765
10000118,clean,1230,0.015833,0.003922,0.033267,0.000000,0.211765
10000119,clean,1233,0.015076,0.003922,0.031637,0.000000,0.211765
10000120,clean,1285,0.015543,0.003922,0.032821,0.000000,0.219608
10000121,clean,1240,0.014741,0.003922,0.031417,0.000000,0.211765
10000122,clean,1325,0.014677,0.003922,0.031959,0.000000,0.227451
10000123,clean,1343,0.014399,0.003922,0.030637,0.000000,0.231373
10000124,clean,1346,0.013944,0.003922,0.029018,0.000000,0.207843
10000125,clean,1292,0.014163,0.003922,0.030721,0.000000,0.211765
10000126,clean,1271,0.014174,0.003922,0.029787,0.000000,0.227451
10000127,clean,1277,0.015355,0.003922,0.031876,0.000000,0.207843
10000128,clean,1276,0.015108,0.003922,0.030935,0.000000,0.203922
10000129,clean,1327,0.014882,0.003922,0.031637,0.000000,0.231373
10000130,clean,1284,0.016154,0.003922,0.033864,0.000000,0.211765
10000131,clean,1230,0.015680,0.003922,0.035244,0.000000,0.423529
10000132,clean,1315,0.015036,0.003922,0.032048,0.000000,0.227451
10000133,clean,1304,0.016871,0.003922,0.036260,0.000000,0.290196
10000134,clean,1263,0.014469,0.003922,0.030329,0.000000,0.227451
10000135,clean,1261,0.014800,0.003922,0.031324,0.000000,0.223529
10000136,clean,1262,0.015894,0.003922,0.033586,0.000000,0.290196
10000137,clean,1280,0.016893,0.003922,0.037792,0.000000,0.435294
10000138,clean,1259,0.015191,0.003922,0.031272,0.000000,0.219608
10000139,clean,1267,0.016172,0.003922,0.041695,0.000000,0.996078
10000140,clean,1294,0.013916,0.003922,0.027616,0.000000,0.207843
10000141,clean,1331,0.015462,0.003922,0.032863,0.000000,0.207843
10000142,clean,1256,0.014953,0.003922,0.030016,0.000000,0.207843
10000143,clean,1278,0.013529,0.003922,0.027010,0.000000,0.211765
10000144,clean,1253,0.015517,0.003922,0.032510,0.000000,0.215686
10000145,clean,1310,0.013980,0.003922,0.027552,0.000000,0.227451
10000146,clean,1337,0.013129,0.003922,0.027727,0.000000,0.211765
10000147,clean,1315,0.013843,0.003922,0.028946,0.000000,0.207843
10000148,clean,1286,0.014573,0.003922,0.031153,0.000000,0.203922
10000149,clean,1273,0.015255,0.003922,0.031303,0.000000,0.207843
10000150,clean,1279,0.014399,0.003922,0.029809,0.000000,0.203922
